Player,Age,Tm,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year,MVP,W/L%,SRS,Playoffs
Shaquille O'Neal,27,LAL,0.998,79,40.0,29.7,13.6,3.8,0.5,3.0,0.574,0.0,0.524,18.6,0.28300000000000003,2000,True,0.8170000000000001,8.41,True
Kevin Garnett,23,MIN,0.337,81,40.0,22.9,11.8,5.0,1.5,1.6,0.49700000000000005,0.37,0.765,11.6,0.172,2000,False,0.61,2.67,True
Alonzo Mourning,29,MIA,0.303,79,34.8,21.7,9.5,1.6,0.5,3.7,0.551,0.0,0.711,12.9,0.226,2000,False,0.634,2.75,True
Karl Malone,36,UTA,0.258,82,35.9,25.5,9.5,3.7,1.0,0.9,0.509,0.25,0.797,15.3,0.249,2000,False,0.6709999999999999,4.52,True
Tim Duncan,23,SAS,0.205,74,38.9,23.2,12.4,3.2,0.9,2.2,0.49,0.091,0.7609999999999999,13.0,0.218,2000,False,0.6459999999999999,5.92,True
Gary Payton,31,SEA,0.149,82,41.8,24.2,6.5,8.9,1.9,0.2,0.44799999999999995,0.34,0.735,13.9,0.195,2000,False,0.5489999999999999,1.17,True
Allen Iverson,24,PHI,0.109,70,40.8,28.4,3.8,4.7,2.1,0.1,0.42100000000000004,0.341,0.713,6.9,0.11599999999999999,2000,False,0.598,1.02,True
Grant Hill,27,DET,0.09300000000000001,74,37.5,25.8,6.6,5.2,1.4,0.6,0.489,0.34700000000000003,0.795,10.7,0.185,2000,False,0.512,1.13,True
Chris Webber,26,SAC,0.079,75,38.4,24.5,10.5,4.6,1.6,1.7,0.483,0.284,0.7509999999999999,10.7,0.179,2000,False,0.537,3.04,True
Vince Carter,23,TOR,0.042,82,38.1,25.7,5.8,3.9,1.3,1.1,0.465,0.40299999999999997,0.7909999999999999,11.8,0.182,2000,False,0.5489999999999999,-0.46,True
Jason Kidd,26,PHO,0.021,67,39.0,14.3,7.2,10.1,2.0,0.4,0.409,0.337,0.8290000000000001,8.5,0.156,2000,False,0.6459999999999999,5.24,True
Kobe Bryant,21,LAL,0.002,66,38.2,22.5,6.3,4.9,1.6,0.9,0.46799999999999997,0.319,0.821,10.6,0.20199999999999999,2000,False,0.8170000000000001,8.41,True
Darrell Armstrong,31,ORL,0.001,82,31.6,16.2,3.3,6.1,2.1,0.1,0.433,0.34,0.9109999999999999,8.0,0.149,2000,False,0.5,0.43,False
Michael Finley,26,DAL,0.001,82,42.2,22.6,6.3,5.3,1.3,0.4,0.457,0.401,0.82,8.3,0.114,2000,False,0.488,-0.29,False
Reggie Miller,34,IND,0.001,81,36.9,18.1,3.0,2.3,1.0,0.3,0.44799999999999995,0.408,0.919,10.1,0.162,2000,False,0.6829999999999999,4.15,True
Jalen Rose,27,IND,0.001,80,37.2,18.2,4.8,4.0,1.1,0.6,0.47100000000000003,0.39299999999999996,0.8270000000000001,7.3,0.11800000000000001,2000,False,0.6829999999999999,4.15,True
Allen Iverson,25,PHI,0.904,71,42.0,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.8140000000000001,11.8,0.19,2001,True,0.6829999999999999,3.64,True
Tim Duncan,24,SAS,0.569,82,38.7,22.2,12.2,3.0,0.9,2.3,0.499,0.259,0.618,13.2,0.2,2001,False,0.7070000000000001,7.92,True
Shaquille O'Neal,28,LAL,0.466,74,39.5,28.7,12.7,3.7,0.6,2.8,0.5720000000000001,0.0,0.513,14.9,0.245,2001,False,0.6829999999999999,3.74,True
Chris Webber,27,SAC,0.42,70,40.5,27.1,11.1,4.2,1.3,1.7,0.48100000000000004,0.071,0.703,11.0,0.18600000000000003,2001,False,0.6709999999999999,6.07,True
Kevin Garnett,24,MIN,0.122,81,39.5,22.0,11.4,5.0,1.4,1.8,0.47700000000000004,0.28800000000000003,0.764,11.8,0.17600000000000002,2001,False,0.573,1.81,True
Tracy McGrady,21,ORL,0.052000000000000005,77,40.1,26.8,7.5,4.6,1.5,1.5,0.457,0.355,0.733,12.2,0.18899999999999997,2001,False,0.524,0.39,True
Karl Malone,37,UTA,0.017,81,35.7,23.2,8.3,4.5,1.1,0.8,0.498,0.4,0.7929999999999999,13.1,0.217,2001,False,0.6459999999999999,5.0,True
